nodeid,medium,region,twindowstart,twindowend,Braw,Rraw,Dt,Ki,Ti,Badj,Vt,rx_vector,corridorids,securityresponsecap,lane,evidencehex
CAP-LP-MAR-01,water,PHX-CAP-LAKEPLEASANT,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,0.88,0.18,0.96,0.93,0.80,0.85,"rPFAS=0.98;rTDS=0.85;rSAT=0.40;rEcoli=0.10;rTP=0.20;rdeg=0.10;rtox=0.40;rmicro=0.30","PFAS-2026-PHX;TDS-CRB-2026;SAT-PHX-MAR-2026;BIODEG-ISO14851-PHX","LOW","PROD","0xa1b2c3d4e5f67890"
GILA-EST-NODE-01,water,PHX-GILA-ESTRELLA,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,0.80,0.22,0.93,0.90,0.65,3.63,"rEcoli=1.10;rTP=1.00;rTDS=0.70;rSAT=0.50;rdeg=0.10;rtox=0.40;rmicro=0.20","ECOLI-ADEQ-2024;TP-ADEQ-2024;SAT-GILA-2026","MEDIUM","PILOT","0x1122334455667788"
AG-PHX-001,air,PHX-URBAN-CORE,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,0.89,0.17,0.94,0.91,0.78,0.82,"rCO2=0.75;rPM=0.40;renergy=0.30;rnoise=0.20;rSAT=0.30;rdeg=0.10;rtox=0.10","CO2-AG-2026;PM25-PHX-2025;ENERGY-GRID-50g;ISO14851-AG-SORBENT","LOW","PROD","0xa3f1e8b9c4d2f7e6d5c4b3a192807f6e5d4c3b2a1"
AG-FW-PHX-01,air,PHX-URBAN-CORE,2026-01-20T00:00:00Z,2026-01-21T00:00:00Z,0.86,0.21,0.90,0.88,0.60,0.90,"rCO2=0.78;rPM=0.45;renergy=0.35;rnoise=0.25;rSAT=0.35;rdeg=0.10;rtox=0.10","CO2-AG-FW-2026;PM25-PHX-2025;ENERGY-GRID-45g;ISO14851-AG-SORBENT","MEDIUM","PILOT","0xa3f1e8b9c4d2f7e6d5c4b3a192807f6e"
PHX-CANAL-NODE-01,water,PHX-CENTRAL-CANAL,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,0.84,0.19,0.95,0.92,0.75,1.20,"rt90=1.00;rtox=0.40;rmicro=0.30;rPFAS=0.20;rnutrient=0.40;rSAT=0.30","BIODEG-ISO14851-PHX;OECD201-LEACHATE;MICRORES-PHX-2026","LOW","PROD","0xf0e1d2c3b4a59687"
AG-FW-PHX-CAIN-01,air,PHX-CAIN-COUPLED,2026-01-21T00:00:00Z,2026-01-22T00:00:00Z,0.82,0.23,0.92,0.89,0.62,0.88,"rCO2=0.70;rPM=0.35;rwater=0.30;renergy=0.32;rnoise=0.22;rdeg=0.10;rtox=0.10","CO2-AG-CAIN-2026;PM25-PHX-2025;WATERSAVE-PHX-CAIN","MEDIUM","PILOT","0xc5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f"
PHX-MAR-SOFT-01,water,PHX-MAR-SOFTNODE,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,0.81,0.20,0.91,0.90,0.68,1.50,"rPFAS=0.90;rSAT=0.60;rdeg=0.80;rtox=0.20;rmicro=0.25;rnutrient=0.60","PFAS-MAR-2026;SAT-MAR-2026;BIODEG-ISO14851-PHX;OECD201-LEACHATE","MEDIUM","PILOT","0x9g8h7i6j5k4l3m2n"
PHX-SOFT-AQUA-01,water,PHX-CANAL-FRAGILE,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,0.78,0.24,0.89,0.88,0.55,1.80,"rdeg=1.00;rtox=0.10;rmicro=0.10;rPFAS=0.00;rSAT=0.40;rnutrient=0.50","BIODEG-ISO14851-PHX;OECD201-LEACHATE;MICRORES-PHX-2026","HIGH","EXP","0x4a3b2c1d9e8f7g6h"
PHX-GRID-AGG-01,air,PHX-REGION-AGG,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,0.87,0.19,0.95,0.94,0.82,0.80,"rCO2=0.72;renergy=0.28;rSAT=0.30;rPM=0.38;rdeg=0.10;rtox=0.10","GRID-50g-THRESHOLD;CO2-AGG-PHX-2026","LOW","PROD","0xc1d2e3f4a5b6c7d8"
PHX-KER-SPINE-01,mixed,PHX-METASYSTEM,2026-01-01T00:00:00Z,2026-01-31T23:59:59Z,0.90,0.13,0.97,0.94,0.85,0.70,"rgrammar=0.50;rKER=0.40;rSAT=0.40;rPFAS=0.60;rdeg=0.60;rtox=0.40","GRAMMAR-RX-VT-2026;KER-PHX-2026","LOW","PROD","0x8y7z6a5b4c3d2e1"
